time,direction,type
05:05,広島,普通
05:29,広島,普通
05:29,広,普通
05:52,広島,普通
06:10,広島,普通
06:26,広島,快速シティライナー
06:26,広,普通
06:41,広島,普通
06:54,広,普通
07:01,広島,普通
07:16,広島,快速シティライナー
07:22,広島,普通
07:35,広,普通
07:53,広島,快速シティライナー
07:59,広島,普通
07:59,広,普通
08:23,広島,普通
08:23,広,普通
08:38,広島,快速シティライナー
08:38,広,普通
08:50,広島,普通
09:03,広島,普通
09:13,広島,快速ライナー
09:13,広,普通
09:26,広島,普通
09:40,広島,快速ライナー
09:40,広,普通
10:08,広島,快速ライナー
10:08,広,快速ライナー
10:39,広島,快速ライナー
10:39,広,快速ライナー
11:09,広島,快速ライナー
11:09,広,快速ライナー
11:41,広島,快速ライナー
11:41,広,快速ライナー
12:08,広島,快速ライナー
12:08,広,快速ライナー
12:38,広島,快速ライナー
12:38,広,快速ライナー
13:10,広島,快速ライナー
13:10,広,快速ライナー
13:38,広島,快速ライナー
13:38,広,快速ライナー
14:08,広島,快速ライナー
14:08,広,快速ライナー
14:38,広島,快速ライナー
14:38,広,快速ライナー
15:08,広島,快速ライナー
15:08,広,快速ライナー
15:39,広島,快速ライナー
15:39,広,快速ライナー
16:06,広,快速ライナー
16:22,広島,普通
16:31,広,普通
16:45,広島,快速ライナー
16:45,広,快速ライナー
17:07,広島,快速ライナー
17:22,広島,普通
17:32,広島,普通
17:43,広島,快速ライナー
17:43,広,快速ライナー
17:55,広島,普通
18:03,広,普通
18:09,広,快速ライナー
18:22,広島,普通
18:31,広,普通
18:42,広島,快速ライナー
18:42,広,快速ライナー
18:55,広島,普通
19:07,広,快速ライナー
19:22,広島,普通
19:31,広,普通
19:44,広,快速ライナー
19:56,広島,普通
19:56,広,普通
20:07,広,快速ライナー
20:27,広島,普通
20:36,広,普通
20:49,広,快速ライナー
21:16,広島,普通
21:16,広,普通
21:27,広,快速ライナー
22:00,広島,普通
22:00,広,普通
22:24,広島,普通
22:24,広,普通
22:59,広,普通
23:13,広島,普通
23:22,広,普通
23:46,広,普通
00:29,広,普通